team,elo_rating,squad_market_value_m,squad_market_value_eur,avg_goals_scored,avg_goals_conceded,form_index,squad_size,avg_squad_age,fifa_ranking,value_imputed,matches_played
Spain,2171.0,950.0,950000000.0,2.75,1.0,0.7636363636363637,26.0,26.7,2.0,True,438.0
Argentina,2113.0,761.2,761200012.0,2.0,0.5,0.8181818181818182,29.0,28.0,3.0,False,466.0
France,2062.0,1080.0,1080000000.0,2.0,1.0,0.8363636363636363,26.0,26.9,1.0,True,448.0
England,2042.0,1250.0,1250000000.0,2.35,0.55,0.7636363636363637,26.0,27.3,4.0,True,428.0
Colombia,1998.0,300.5,300500000.0,1.9,0.95,0.5818181818181818,26.0,29.7,13.0,False,449.0
Brazil,1979.0,778.5,778500000.0,1.6,0.9,0.38181818181818183,24.0,27.0,6.0,False,528.0
Portugal,1976.0,864.5,864500000.0,2.1,1.0,0.4909090909090909,26.0,27.1,5.0,False,411.0
Netherlands,1959.0,766.0,766000000.0,2.65,1.0,0.7636363636363637,25.0,27.1,7.0,False,422.0
Ecuador,1933.0,366.7,366730011.0,0.9,0.35,0.2545454545454545,32.0,26.0,23.0,False,407.0
Croatia,1933.0,283.3,283299988.0,2.05,1.05,0.8727272727272727,26.0,28.3,11.0,False,376.0
Norway,1922.0,504.0,504000000.0,3.0,0.95,0.6909090909090909,24.0,27.0,31.0,False,392.0
Germany,1910.0,773.5,773500000.0,2.4,1.05,0.8181818181818182,25.0,28.0,10.0,False,479.0
Switzerland,1897.0,322.1,322100006.0,1.95,1.3,0.5272727272727272,26.0,28.0,19.0,False,379.0
Uruguay,1890.0,362.5,362450012.0,0.85,0.9,0.36363636363636365,28.0,28.5,17.0,False,421.0
Turkey,1880.0,435.2,435200012.0,2.0,1.25,0.6909090909090909,27.0,28.0,22.0,False,395.0
Japan,1878.0,264.2,264200012.0,2.6,0.45,0.6727272727272727,27.0,26.4,18.0,False,522.0
Denmark,1864.0,375.0,375000000.0,1.9,1.05,0.6,25.0,26.5,20.0,False,390.0
Italy,1859.0,833.5,833500000.0,2.05,1.45,0.7818181818181819,28.0,26.6,12.0,False,431.0
Belgium,1849.0,534.2,534200012.0,2.3,1.1,0.7090909090909091,25.0,26.6,9.0,False,372.0
Mexico,1835.0,79.8,79800003.0,1.35,0.85,0.43636363636363634,12.0,26.8,15.0,False,653.0
Paraguay,1833.0,134.7,134699997.0,1.1,1.1,0.4727272727272727,25.0,28.8,40.0,False,395.0
Morocco,1830.0,456.0,456000000.0,1.9,0.25,0.6,29.0,25.2,8.0,False,401.0
Austria,1818.0,263.4,263399994.0,2.45,0.9,0.6909090909090909,28.0,28.4,24.0,False,341.0
Senegal,1803.0,474.0,474000000.0,2.25,0.55,0.7454545454545455,28.0,26.9,14.0,False,414.0
