winner,count,probability
Spain,39003,0.39003
Argentina,21985,0.21985
France,12303,0.12303
England,8920,0.0892
Colombia,3707,0.03707
Brazil,2675,0.02675
Portugal,2635,0.02635
Netherlands,2128,0.02128
Croatia,1128,0.01128
Ecuador,1105,0.01105
Norway,901,0.00901
Germany,694,0.00694
Switzerland,608,0.00608
Turkey,457,0.00457
Uruguay,418,0.00418
Japan,336,0.00336
Belgium,267,0.00267
Mexico,167,0.00167
Paraguay,149,0.00149
Morocco,110,0.0011
Canada,70,0.0007
Austria,50,0.0005
South Korea,43,0.00043
Senegal,33,0.00033
Scotland,28,0.00028
Iran,27,0.00027
Australia,18,0.00018
United States,11,0.00011
Czech Republic,8,8e-05
Panama,5,5e-05
Uzbekistan,5,5e-05
Jordan,3,3e-05
Algeria,3,3e-05
