winner,count,probability
Spain,18343,0.18343
Argentina,16026,0.16026
England,10531,0.10531
France,9719,0.09719
Netherlands,4831,0.04831
Colombia,3960,0.0396
Norway,3594,0.03594
Portugal,3450,0.0345
Croatia,3279,0.03279
Germany,3243,0.03243
Brazil,3050,0.0305
Japan,2790,0.0279
Belgium,1832,0.01832
Ecuador,1760,0.0176
Switzerland,1674,0.01674
Morocco,1607,0.01607
Turkey,1468,0.01468
Senegal,1166,0.01166
Uruguay,972,0.00972
Mexico,935,0.00935
Austria,896,0.00896
South Korea,820,0.0082
Paraguay,721,0.00721
Canada,703,0.00703
Australia,593,0.00593
Algeria,365,0.00365
Iran,297,0.00297
Scotland,254,0.00254
Czech Republic,219,0.00219
United States,207,0.00207
Uzbekistan,201,0.00201
Panama,129,0.00129
DR Congo,69,0.00069
Ivory Coast,64,0.00064
Jordan,49,0.00049
Tunisia,44,0.00044
Egypt,41,0.00041
Sweden,27,0.00027
South Africa,18,0.00018
Saudi Arabia,15,0.00015
Iraq,11,0.00011
Cape Verde,8,8e-05
New Zealand,6,6e-05
Bosnia and Herzegovina,4,4e-05
Haiti,4,4e-05
Curaçao,2,2e-05
Ghana,2,2e-05
Qatar,1,1e-05
